decimalLatitude,decimalLongitude,scientificName,iucnRedListCategory
9.39771,76.57853,Cassia fistula L.,LC
18.97728,72.83717,Couroupita guianensis Aubl.,LC
8.34321,77.05285,Mimusops elengi L.,LC
9.46609,77.5315,Psidium guajava L.,LC
25.24063,73.45485,Mangifera indica L.,DD
12.14624,75.22896,Gliricidia sepium (Jacq.) Kunth,LC
9.39771,76.57853,Alstonia scholaris (L.) R.Br.,LC
10.49636,76.21487,Phyllanthus emblica L.,LC
9.0403,76.64952,Plumeria rubra L.,LC
13.06842,77.57832,Ficus racemosa L.,LC
11.81408,75.55743,Mangifera indica L.,DD
10.1557,76.25041,Mangifera indica L.,DD
8.34321,77.05285,Mangifera indica L.,DD
27.1292,93.74198,Mesua ferrea L.,VU
11.60454,75.59054,Phyllanthus emblica L.,LC
8.51071,77.10047,Terminalia catappa L.,LC
8.34321,77.05285,Ficus religiosa L.,LC
23.00488,80.51328,Tamarindus indica L.,LC
8.79984,76.68025,Phyllanthus emblica L.,LC
9.38543,76.58154,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,LC
9.39839,76.56761,Ficus religiosa L.,LC
8.34321,77.05285,Lagerstroemia speciosa (L.) Pers.,LC
9.59676,76.50597,Murraya koenigii (L.) Spreng.,LC
8.34321,77.05285,Syzygium cumini (L.) Skeels,LC
9.39771,76.57853,Mangifera indica L.,DD
9.39771,76.57853,Lagerstroemia speciosa (L.) Pers.,LC
11.76712,75.47887,Vitex negundo L.,LC
9.39771,76.57853,Mimusops elengi L.,LC
22.40018,80.75019,Butea monosperma (Lam.) Kuntze,LC
28.50932,77.41405,"Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna",LC
18.50884,73.83599,Syzygium cumini (L.) Skeels,LC
13.06804,77.57719,Ficus racemosa L.,LC
9.2667,76.79082,Terminalia catappa L.,LC
11.82235,75.43191,Lagerstroemia speciosa (L.) Pers.,LC
10.91675,75.92459,Murraya koenigii (L.) Spreng.,LC
15.83327,74.50785,Alstonia scholaris (L.) R.Br.,LC
11.55873,75.79582,Mangifera indica L.,DD
10.77742,76.34414,Delonix regia (Bojer ex Hook.) Raf.,LC
9.27392,76.79542,Psidium guajava L.,LC
9.36564,76.43985,Azadirachta indica A.Juss.,LC
8.40684,77.16442,Phyllanthus emblica L.,LC
8.75197,76.7726,Azadirachta indica A.Juss.,LC
9.38859,76.58297,Gliricidia sepium (Jacq.) Kunth,LC
9.46555,77.53044,Azadirachta indica A.Juss.,LC
10.81853,76.67283,Terminalia bellirica (Gaertn.) Roxb.,LC
8.58769,76.84703,Phyllanthus emblica L.,LC
13.06804,77.57719,Ficus racemosa L.,LC
10.13036,76.29268,Lagerstroemia speciosa (L.) Pers.,LC
